Rang,Phrase_1929,Score_1929,Phrase_1930,Score_1930,Phrase_1931,Score_1931
1,deutsche volk,0.01603,stadt wächter,0.02387,stadt wächter,0.01537
2,stadt wächter,0.00949,juden kaufen,0.01017,juden deutschlands,0.01331
3,deutschen volkes,0.00848,nie juden,0.0094,deutschlands unglück,0.01296
4,beim juden,0.00738,nie juden kaufen,0.00886,juden deutschlands unglück,0.0124
5,vom juden,0.0066,gebot nie,0.00882,juden juden,0.01016
6,deutschen arbeiter,0.00637,gebot nie juden,0.00839,seite stadt,0.0097
7,juden deutschland,0.00623,deutsche volk,0.00783,seite stadt wächter,0.0097
8,juden klüngel,0.00583,staatsbürger jüdischen,0.00531,wächter osnabrück,0.00892
9,daß jude,0.00561,jüdischen glaubens,0.00519,stadt wächter osnabrück,0.00892
10,millionen mark,0.00519,daß juden,0.00505,seite juden,0.00862
11,falscher tritt,0.00516,hugo mosbach,0.00503,unglück page,0.00685
12,kölner juden,0.00513,staatsbürger jüdischen glaubens,0.00488,deutschlands unglück page,0.00685
13,beim juden kaufen,0.00483,jüdischen firmen,0.00443,page seite,0.00639
14,jüdischen händen,0.00457,christliches geschäft,0.00442,fortsetzung seite,0.00639
15,daß jüdischen,0.00449,deutscher staatsbürger,0.00441,page seite stadt,0.00625
16,juden welt,0.00445,deutscher staatsbürger jüdischen,0.00441,unglück page seite,0.00582
17,juden kaufen,0.00441,kaufen gebot,0.00433,deutschen juden,0.0054
18,daß juden,0.00426,juden kaufen gebot,0.00423,juden jude,0.00535
19,juden deutschen,0.00425,kaufen gebot nie,0.00413,deutschlands unglück seite,0.00509
20,was jude,0.00417,seite stadt,0.00376,unglück seite,0.00502
