Rang,Wort,Häufigkeit
1,daß,5928
2,stadt,4128
3,was,2869
4,wächter,2803
5,osnabrück,2712
6,sein,2701
7,uns,2697
8,deutschen,1894
9,vom,1765
10,wieder,1712
11,seine,1708
12,herr,1708
13,hier,1633
14,können,1615
15,denn,1601
16,mark,1597
17,juden,1585
18,immer,1574
19,ihre,1570
20,deutsche,1441
21,mir,1407
22,zeit,1360
23,ihnen,1313
24,müssen,1305
25,habe,1305
26,keine,1297
27,seite,1282
28,ganz,1265
29,schierbaum,1258
30,nichts,1247
31,soll,1239
32,recht,1173
33,alles,1165
34,wohl,1165
35,heute,1146
36,muß,1143
37,sondern,1141
38,also,1129
39,einmal,1097
40,jetzt,1082
41,allen,1072
42,wollen,1063
43,volk,1058
44,selbst,1051
45,damit,1030
46,kein,1029
47,weil,1026
48,machen,1002
49,lassen,995
50,etwas,986
