Rang,Lemma,Häufigkeit,Pro_Million
1,deutsch,3472,6453.11
2,Herr,3134,5824.9
3,Osnabrück,2787,5179.96
4,Jude,2012,3739.53
5,Volk,1755,3261.87
6,lassen,1653,3072.29
7,Mark,1581,2938.47
8,stehen,1463,2719.15
9,Stadt,1413,2626.22
10,Schierbaum,1386,2576.04
11,wissen,1342,2494.26
12,jüdisch,1301,2418.06
13,Deutschland,1244,2312.12
14,Seite,1197,2224.76
15,sehen,1137,2113.25
16,bringen,1087,2020.31
17,Oberbürgermeister,1040,1932.96
18,Million,1006,1869.77
19,Osnabrücker,1002,1862.33
20,letzter,988,1836.31
21,Mann,979,1819.58
22,finden,938,1743.38
23,stellen,923,1715.5
24,nehmen,918,1706.21
25,geben,902,1676.47
26,sagen,887,1648.59
27,Frau,872,1620.71
28,alt,867,1611.42
29,hoch,862,1602.13
30,Mensch,860,1598.41
31,Presse,835,1551.94
32,Fall,830,1542.65
33,bleiben,826,1535.22
34,halten,817,1518.49
35,Preis,808,1501.76
36,Partei,798,1483.17
37,unser,794,1475.74
38,frei,793,1473.88
39,Geld,778,1446.0
40,Magistrat,774,1438.57
41,erhalten,770,1431.13
42,liegen,751,1395.82
43,Zeitung,742,1379.09
44,Staat,740,1375.38
45,schreiben,734,1364.22
46,Arbeiter,705,1310.32
47,Stelle,701,1302.89
48,Berlin,681,1265.72
49,führen,680,1263.86
50,Beamter,679,1262.0
