Rang,Kollokator,Wortklasse,Häufigkeit,Anteil_%
1,partei,Substantiv,60,2.38
2,zentrum,Substantiv,57,2.26
3,jude,Substantiv,20,0.79
4,presse,Substantiv,18,0.71
5,deutsch,Adjektiv,16,0.63
6,kommunist,Substantiv,16,0.63
7,führer,Substantiv,15,0.59
8,minister,Substantiv,15,0.59
9,stark,Adjektiv,14,0.55
10,jüdisch,Adjektiv,13,0.51
11,regierung,Substantiv,13,0.51
12,deutschland,Eigenname,11,0.44
13,stimme,Substantiv,11,0.44
14,hilferding,Eigenname,10,0.4
15,bonze,Substantiv,10,0.4
16,stehen,Verb,9,0.36
17,braun,Eigenname,9,0.36
18,nationalsozialist,Substantiv,8,0.32
19,abgeordneter,Substantiv,8,0.32
20,antrag,Substantiv,8,0.32
21,rot,Adjektiv,8,0.32
22,mark,Substantiv,8,0.32
23,kampf,Substantiv,7,0.28
24,bürgermeister,Substantiv,7,0.28
25,mitglied,Substantiv,7,0.28
26,wissen,Verb,7,0.28
27,arbeiter,Substantiv,7,0.28
28,zahlenmäßig,Adverb,6,0.24
29,führung,Substantiv,6,0.24
30,bürgerblock,Substantiv,6,0.24
31,erhalten,Verb,6,0.24
32,bezeichnen,Verb,6,0.24
33,gewerkschaft,Substantiv,6,0.24
34,vertreter,Substantiv,6,0.24
35,nämlich,Adverb,6,0.24
36,preußen,Eigenname,6,0.24
37,konsumverein,Substantiv,6,0.24
38,bringen,Verb,5,0.2
39,berliner,Adjektiv,5,0.2
40,vorhandensein,Substantiv,5,0.2
41,schreiben,Verb,5,0.2
42,zentralorgan,Substantiv,5,0.2
43,reichstag,Substantiv,5,0.2
44,nennen,Verb,5,0.2
45,haas,Eigenname,5,0.2
46,treiben,Substantiv,5,0.2
47,ehemalig,Adjektiv,5,0.2
48,berlin,Eigenname,5,0.2
49,frei,Adjektiv,5,0.2
50,angehören,Verb,5,0.2
