Thema_1,Thema_2,Thema_3,Thema_4,Thema_5
oberbürgermeister,muss,oberbürgermeister,jüdischen,jüdischen
magistrat,ging,gericht,welt,jüdische
bürgervorsteher,staat,jursch,republik,muss
bürger,mein,staatsanwalt,arbeiter,nationalsozialisten
arbeiter,wollte,rechtsanwalt,jude,regierung
muss,sagte,artikel,regierung,zentrum
kaufen,wirtschaft,redakteur,namen,roggen
zeitung,ersten,oberbürgermeisters,prozent,weizen
beamten,lage,verhandlung,nationalsozialisten,volkszeitung
städtischen,fortsetzung,villa,parteien,hafer
jüdischen,hand,urteil,staat,schweine
artikel,hafer,scheidt,berliner,zeitung
billig,meinen,angeklagten,wirklich,kampf
nummer,genau,simoneit,jüdische,brüning
johannisstr,prozent,johannisstr,schreibt,jude
