Ausgabe,CER_vorher_%,CER_nachher_%,ΔCER_%,WER_vorher_%,WER_nachher_%,ΔWER_%
1929_Ausgabe_01,7.68,7.68,0.0,25.84,25.84,0.0
1929_Ausgabe_06,6.29,6.29,0.0,24.21,24.21,0.0
1929_Ausgabe_14,3.02,2.73,-0.29,25.25,24.24,-1.01
1929_Ausgabe_29,15.07,14.73,-0.34,33.11,31.93,-1.18
1930_Ausgabe_01,18.54,18.23,-0.31,39.94,38.76,-1.18
1930_Ausgabe_16,5.19,4.79,-0.4,30.39,28.89,-1.5
1930_Ausgabe_24,4.63,4.26,-0.37,25.75,25.0,-0.75
1930_Ausgabe_32,7.93,7.93,0.0,26.78,26.78,0.0
1930_Ausgabe_45,3.13,3.13,0.0,27.83,27.83,0.0
1931_Ausgabe_01,4.68,4.59,-0.09,23.95,23.62,-0.33
1931_Ausgabe_10,4.89,4.62,-0.27,25.57,24.92,-0.65
1931_Ausgabe_20,9.54,9.23,-0.31,26.31,25.44,-0.87
DURCHSCHNITT (12 Ausgaben),7.55,7.35,-0.2,27.91,27.29,-0.62
